,endTime,artistName,trackName,msPlayed
479,2023-07-13 06:15,Hesham Abdul Wahab,"Aradhya (From ""Kushi"") (Hindi)",173678
480,2023-07-13 11:26,Hesham Abdul Wahab,"Aradhya (From ""Kushi"") (Hindi)",180604
481,2023-07-14 07:30,Hesham Abdul Wahab,"Aradhya (From ""Kushi"") (Hindi)",263093
482,2023-07-15 06:34,Kishore Kumar,Yeh Kya Hua,90002
483,2023-07-15 07:01,Kishore Kumar,Yeh Kya Hua,62833
484,2023-07-18 04:57,Hesham Abdul Wahab,"Aradhya (From ""Kushi"") (Hindi)",105899
485,2023-07-18 15:49,Shafqat Amanat Ali,Raske Bhare Tore Naina,189618
486,2023-07-23 14:03,Suresh Wadkar,Haathon Ki Chand Lakeeron Ka,85418
487,2023-07-24 06:48,Bharath Sankar,"Vannarapettayila (From ""Maaveeran"")",146963
488,2023-07-24 06:57,Suresh Wadkar,Haathon Ki Chand Lakeeron Ka,240017
489,2023-07-28 07:16,Chithra Priya,Unakkum Enakkum,158130
490,2023-07-28 07:42,Chithra Priya,Unakkum Enakkum,171647
491,2023-08-01 08:02,KK,Ye Mera Jaha,212050
492,2023-08-03 11:50,Anirudh Ravichander,Rise of Veera,116613
493,2023-08-03 11:53,Anirudh Ravichander,Veeraraghavan,104594
494,2023-08-03 11:54,Anirudh Ravichander,Yen Pecha Naane Kekkamaaten,56110
495,2023-08-03 12:05,Anirudh Ravichander,The Raw Agent,96833
496,2023-08-07 09:22,Filmy Nerdy Podcasts,"Lights, Camera, Lumière: The Birth of Cinema",10932
497,2023-08-07 09:22,Filmy Nerdy Podcasts,Welcome to the Filmy Nerdy Podcasts,1021
498,2023-08-09 04:31,Alice Merton,No Roots,89405
499,2023-08-09 04:33,Dr. Dre,The Next Episode,836
500,2023-08-09 04:33,Bilal Saeed,Adi Adi Raat,83227
501,2023-08-10 07:53,Alice Merton,No Roots,235813
502,2023-08-10 08:11,Alice Merton,No Roots,180591
503,2023-08-10 13:10,Alice Merton,No Roots,443238
504,2023-08-10 13:13,Alice Merton,No Roots,174202
505,2023-08-10 13:16,Alice Merton,No Roots,144754
506,2023-08-11 04:37,Alice Merton,No Roots,230741
507,2023-08-11 04:41,Boney M.,Rasputin,166873
508,2023-08-11 04:48,Boney M.,Rasputin - Club Mix,230135
509,2023-08-11 11:20,Alice Merton,No Roots,75715
510,2023-08-14 05:18,Alice Merton,No Roots,234199
511,2023-08-14 05:20,Jakes Bejoy,"Kalapakkaara (From ""King of Kotha"")",125035
512,2023-08-16 10:18,Binni Krishnakumar,Raa Raa,60001
513,2023-08-17 15:31,Tippu,Kokku Para Para,3294
514,2023-08-17 15:32,Zubeen Garg,Ya Ali,45931
515,2023-08-17 15:35,James,Bheegi Bheegi,138466
516,2023-08-17 15:35,Abhijeet,Lamha Lamha,21892
517,2023-08-17 15:40,Binni Krishnakumar,Raa Raa,313939
518,2023-08-17 15:42,Asha Bhosle,Konjam Neram,12105
519,2023-08-17 15:42,KK,Annanoda Paatu,112503
520,2023-08-17 15:48,Binni Krishnakumar,Raa Raa,316068
521,2023-08-18 05:33,Binni Krishnakumar,Raa Raa,27614
522,2023-08-18 05:34,Nithyasree Mahadevan,Varam Nan Unai,90276
523,2023-08-18 05:34,M. M. Keeravani,"Swagathaanjali (From ""Chandramukhi 2"")",10028
524,2023-08-18 05:40,Binni Krishnakumar,Raa Raa,318621
525,2023-08-18 06:02,Binni Krishnakumar,Raa Raa,53310
526,2023-08-18 06:11,Binni Krishnakumar,Raa Raa,4620
527,2023-08-18 06:11,KK,Annanoda Paatu,5285
528,2023-08-18 06:17,Binni Krishnakumar,Raa Raa,314275
529,2023-08-20 15:15,Alice Merton,No Roots,210863
530,2023-08-21 06:45,Rabbi Shergill,Tere Bin,198578
531,2023-08-21 12:11,AP Dhillon,Excuses,2854
532,2023-08-21 12:14,AP Dhillon,With You,154554
533,2023-08-21 12:16,AP Dhillon,Dil Nu,60009
534,2023-08-24 08:37,Alice Merton,No Roots,366418
535,2023-08-24 08:51,Alice Merton,No Roots,235612
536,2023-09-03 13:03,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",211064
537,2023-09-03 13:37,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",121108
538,2023-09-03 13:44,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",233557
539,2023-09-03 13:45,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",93185
540,2023-09-03 13:56,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",25867
541,2023-09-03 13:58,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
542,2023-09-03 14:01,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
543,2023-09-03 14:03,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
544,2023-09-03 14:05,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
545,2023-09-03 14:06,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",97873
546,2023-09-03 14:09,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",21180
547,2023-09-03 14:12,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",90399
548,2023-09-04 05:36,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
549,2023-09-04 05:38,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
550,2023-09-04 05:40,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
551,2023-09-04 06:04,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",119052
552,2023-09-04 06:06,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",98578
553,2023-09-05 05:05,Anirudh Ravichander,Ailasa Ailasa,142129
554,2023-09-05 10:24,Bharath Sankar,Maaveeran Theme,130363
555,2023-09-05 10:26,Bharath Sankar,Maaveeran Theme,125387
556,2023-09-05 10:28,Bharath Sankar,Vaa Veera,120953
557,2023-09-05 10:30,Bharath Sankar,Maaveeran Theme,127009
558,2023-09-07 04:36,Call,Laaree Chootee,210002
559,2023-09-11 04:11,Sanjay Leela Bhansali,Jab Saiyaan,247784
560,2023-09-11 04:12,Sanjay Leela Bhansali,Shikayat,8421
561,2023-09-11 04:16,Sanjay Leela Bhansali,Jab Saiyaan,247784
562,2023-09-11 04:22,Sanjay Leela Bhansali,Jab Saiyaan,247784
